movie_name,language,year_of_release,maturity_rating,total_running_time_minutes,imdb_ratings
Rajkumari,Bengali,None,NR,124,8
Good Kill,English,2015,18+,98,6.4
Zindagi Jalebi,Hindi,2013,NR,117,3.7
Ocean's 8,English,2018,16+,110,7
Bob The Train - Non Stop,English,2018,All,62,5.5
Azhakiya Ravanan,Malayalam,1996,All,154,7.4
Chasing Mavericks,English,2012,7+,116,7.2
Most Likely to Murder,English,2018,18+,99,5.4
Shraboner Dhara,Bengali,2020,13+,107,0
Wushu Warrior,English,2011,13+,81,3.9
Force of Nature: The David Suzuki Movie,English,2019,13+,92,0
Synthetic Sati,Bengali,2019,13+,31,0
Jesse Cook: Follow the Road,English,2020,13+,62,0
House on Bare Mountain,English,None,16+,62,4.1
Merupu Kalalu,Telugu,1997,All,153,0
Sri Kanchi Kamatchi,Tamil,1978,NR,156,0
Mayar Badhon,Bengali,2017,13+,140,0
Adu,Kannada,1995,NR,145,6.6
Thammar Boyfriend,Bengali,2017,13+,122,6.3
Kabab Mein Haddi,Hindi,2014,NR,109,7.2
Heer Ranjha,Hindi,1992,All,159,5.2
Drone,English,2017,18+,85,5.4
Pagalpanti,Gujarati,2018,NR,148,3.1
Abirbhab,Bengali,1995,NR,123,0
Anjali CBI,Telugu,2019,13+,146,7.4
Manku Thimma,Kannada,1980,NR,140,0
Kundan,Hindi,1993,NR,150,6.5
Madha,Telugu,2020,13+,104,5.2
Seetha,Kannada,1970,NR,161,4.9
Rampage,English,2018,13+,107,6.1
Asathoma Sadgamaya,Kannada,2018,NR,134,0
Theekkali,Malayalam,1981,NR,128,0
The Lie,English,2020,16+,95,5.8
Suvar Illatha Chithirangal,Tamil,1979,NR,138,0
Mrugaya,Malayalam,1989,All,144,8
Aamhi Doghi,Marathi,2018,All,137,7.6
Gorosthane Sabdhan,Bengali,2020,13+,98,6.9
The USA vs Bergdahl,English,2019,13+,95,5.8
Ocean's Eleven,English,2001,13+,116,7.7
Oblivion,English,2013,16+,124,7
Ashi Fasli Nanachi Taang,Marathi,2011,All,113,0
Thiruda Thirudi,Tamil,2003,13+,151,6.2
Dosti,Hindi,None,All,163,8.4
Swayansiddha,Bengali,1975,NR,119,0
Omana,Malayalam,1992,NR,128,0
Kanch Kata Hirey,Bengali,2017,13+,118,7.5
Ghajinikanth,Tamil,2018,All,137,5.4
Guns Akimbo,Tamil,2020,18+,93,6.3
Jibon Marur Prante,Bengali,1977,NR,96,0
Maayavan ( In Hindi ),Hindi,2017,13+,117,7.3
Kalluvathukkal Kathreena,Malayalam,1999,NR,102,0
Shylock,Malayalam,2020,13+,129,5.7
Mujhse Shaadi Karogi,Hindi,2004,13+,158,6.7
Aap Ki Khatir,Hindi,2006,13+,121,3.5
Campus Katta,Marathi,2014,NR,124,0
Lal Darja,Bengali,1997,NR,96,0
Maine Pyaar Kiya,Hindi,1989,All,192,7.3
Into the West,English,1993,16+,102,8.1
Satrangee Parachute,Hindi,2011,NR,94,5.3
Monchora - The Heart Stealer,Bengali,2016,NR,91,0
A Long Way Down,English,2014,18+,96,6.4
Dhola Maru,Gujarati,1983,All,145,5.9
Maatr,Hindi,2017,18+,110,4.5
Bairi Mari Aatankwadi,Gujarati,2018,All,140,0
Gang Leader - Telugu,Telugu,1991,NR,146,0
The Last Airbender,Tamil,2010,All,103,4
Prema Leela,Telugu,2015,All,157,0
Injakkadan Mathai & Sons,Malayalam,1993,NR,122,4.8
The Proud Rebel,English,None,All,103,6.8
Memories In March,Bengali,2017,13+,102,0
Kaappaan,Tamil,2019,13+,163,6.3
Inba Twinkle Lilly,Tamil,2018,13+,135,4.3
Newspaper Boy,Malayalam,1997,NR,130,3.6
Lakeer - Forbidden Lines,Hindi,2004,13+,161,4.4
Amber,Hindi,None,NR,139,0
Cheran's JK Enum Nanbanin Vaazhkai,Tamil,2015,All,141,5.9
TN-07 AL 4777,Malayalam,2009,NR,103,7.6
Blackmail,Hindi,2018,13+,137,7.1
Harry Potter and the Prisoner of Azkaban,English,2004,All,141,7.9
Windows,Hindi,2017,All,25,4.8
O Sthree Repu Ra,Telugu,2016,18+,127,4.2
Sing Along With Tobee 1 - Super Simple,English,2019,All,50,0
Kalankini Kankabati,Bengali,2017,13+,113,6.8
Chitkabrey - Shades Of Grey,Hindi,2011,NR,112,0
The Curious Case Of Benjamin Button,English,2008,13+,166,7.8
Nayan Shyama,Bengali,2017,13+,108,0
Coolie No. 1,Hindi,2020,13+,134,3.6
The Prince,English,2014,16+,90,4.6
Who Owns Water,English,2019,13+,50,8.6
Lakshmi's NTR,Telugu,2019,All,150,6.7
Kaliyoonjal,Malayalam,1997,All,153,6.2
Bhabhi,Hindi,None,All,165,6.7
Ghost Rider: Spirit Of Vengeance,English,2012,18+,95,4.3
IIT Krishnamurthy (Tamil),Tamil,2020,All,110,5.7
Grama Devathe,Kannada,2001,NR,135,0
Suttu Pidikka Utharavu,Tamil,2019,13+,106,6.3
Sound of Metal,English,2020,18+,121,7.8
Magamuni,Tamil,2019,13+,156,7.8
Sare Chuattor Ghosh Para,Bengali,2014,All,130,0
Prematho,Telugu,1998,13+,166,6.6
Vasiyam,Tamil,2002,NR,75,0
Kinavalli,Malayalam,2018,All,139,6.6
The Weatherman And The Shadow Boxer,English,2014,7+,10,0
Sanam Bewafa,Hindi,1991,All,160,5.3
T-34,Tamil,2018,All,112,6.7
Mikhael,Malayalam,2019,16+,147,5
Jack Reacher,English,2012,13+,130,7
Aata,Telugu,2007,13+,137,4.8
Its My Love Story,Telugu,2011,All,128,5.8
Puja,Bengali,1996,NR,145,6.9
Avengers Grimm,Hindi,2015,13+,85,2.7
"10,000 B.C.",Hindi,2008,13+,108,5.1
Jack & Dil,Hindi,2018,13+,93,3.6
Roudra Chaya,Bengali,2017,13+,103,0
Fury,English,2014,18+,134,7.6
Online Binline,Marathi,2015,All,127,6.2
I Am Not a Hipster,English,2012,NR,90,6.6
Aai Shapath,Marathi,2007,All,134,7.1
The Journey Of Punjab 2016,Punjabi,2016,13+,107,0
Happy Journey,Marathi,2014,13+,128,6.9
Tya Ratri Paus Hota,Marathi,2009,13+,116,6.8
Sniper Special Ops,English,2016,18+,86,3.2
Dil Tera Diwana,Hindi,1996,All,140,4.9
Bluffmaster!,Hindi,2005,13+,134,6.6
CBI Enquiry,Telugu,2009,NR,135,0
Dark Was The Night,English,2015,18+,98,5.6
Annavaram,Telugu,2006,13+,174,4.8
Swami Ayyappan,English,2015,13+,92,7.6
Paanch Adhyay,Bengali,2017,13+,114,6.4
Veer,Hindi,2010,NR,163,4.5
Pathinettam Padi,Malayalam,2019,13+,156,6
Ayyo Rama,Telugu,2015,All,134,0
Pratikar - Bengali,Bengali,1987,NR,148,0
Nippulanti Manishi - NTR,Telugu,1974,NR,161,6.2
Out of Control,Hindi,2003,NR,124,0
Aakali Rajyam,Telugu,1981,All,134,8.1
"Darkest Hour, The",English,2011,18+,89,4.9
Room on a Broom,Hindi,2012,7+,26,7.6
Adimurai,Malayalam,2020,All,140,5.7
Katari Veera,Kannada,2012,NR,149,8.4
Transformers: Revenge of the Fallen,Marathi,2009,13+,149,6
My Fair Madeline,English,2002,All,73,5.7
The Cold Light Of Day,English,2012,13+,93,4.9
Pyar Diwana Hota Hai,Hindi,2002,All,145,0
Ek Nari Ek Brahmachari,Hindi,1971,NR,151,6.3
Ganadevata,Bengali,2017,13+,157,8.2
Govinda,Marathi,2013,All,103,7
Surjasikha,Bengali,None,NR,131,0
Badla,Hindi,2005,18+,150,7.8
Main Awara Hoon,Hindi,1983,13+,148,5.2
Baby Boss: Italy's New Face of Terror,English,2020,13+,52,0
Maha Prachandaru,Kannada,1981,NR,137,8
32aam Adhyayam 23aam Vaakyam,Malayalam,2015,All,115,5.7
Anwar,Hindi,2007,13+,137,6.4
Kathanam,Tamil,2019,13+,110,3.8
Dil Hai Tumhara,Hindi,2000,All,176,5.3
Gopichand Chanakya,Telugu,2019,13+,144,7.6
Dui Purush,Bengali,2017,13+,124,6.1
A Year in Port,English,2016,13+,85,6.7
Nidhi Ram Sardar,Bengali,1976,NR,114,0
Noor Jahan,Bengali,2018,18+,141,5.3
Mashaal,Hindi,1984,16+,169,7.4
Thaali Pudhusu,Tamil,1997,NR,129,0
Vasantha Kalam,Telugu,2020,13+,108,2.7
Shree,Hindi,2013,NR,109,6.3
Bandit Queen,Hindi,1996,13+,102,7.6
Babai Abbai,Telugu,1985,NR,117,6.4
Ottayal Pattalam,Malayalam,1992,NR,133,6.5
Nagordola,Bengali,2005,18+,144,7.5
Zubaan,Hindi,2016,13+,111,6.1
Dheemaku,Kannada,2008,NR,133,0
The Grand Seduction,English,2014,13+,113,7
Kabhi Yun Bhi Toh Ho,Hindi,2014,NR,102,0
Kalyana Rekhe,Kannada,1993,NR,126,0
Mayalodu,Telugu,1993,All,130,6.9
The Lost City of Z,English,2017,13+,140,6.6
Bandhan,Bengali,2017,13+,137,6.9
Tushar Tirtha Amarnath,Bengali,1978,NR,119,0
John Wick,English,2014,18+,101,7.4
Sadhanpith Tarapith,Bengali,2017,13+,117,0
Striker,Kannada,2019,13+,120,7
Bee Season,English,2005,13+,104,5.5
Love Story 2050,Hindi,2008,All,136,2.6
Love Breakups Zindagi,Hindi,2011,13+,149,5.8
Kal Ki Awaz,Hindi,1992,All,162,6.3
Jagadeka Sundari,Telugu,2001,NR,89,0
Ong Bak 2: One Man Army,English,2008,16+,90,6.2
Sabse Badhkar Hum 2,Hindi,2015,All,128,7.5
Maati O Manush,Bengali,2019,13+,101,0
Kari Chirathe,Kannada,2010,NR,138,5.4
LEGO Jurassic World The Secret Exhibit Part 1,English,2018,7+,22,6.2
The Italian Job (2003),English,2003,13+,110,7
Sri Venkateshwara Mahime,Kannada,1988,NR,124,0
My Story,Malayalam,2018,All,137,4.5
Vandi,Tamil,2018,NR,131,6
varikkuzhiyile kolapathakam,Malayalam,2019,All,121,6.4
For Ellen,English,2012,16+,89,6
Black Hawk Down,English,2001,18+,144,7.7
Rab Ne Bana Di Jodi,Hindi,2008,All,163,7.2
Sun Sajna,Hindi,1982,NR,138,6.3
Deewana,Hindi,1992,All,155,6.9
Tyler Perry's A Madea Family Funeral,English,2019,13+,109,4.5
Godzilla: King of The Monsters,English,2019,16+,131,6
I am Joyita,Bengali,2020,13+,30,0
RIDERS IN THE LAND OF THE SETTING SUN,English,2020,13+,52,0
Asian Maids: Invisible Modern Slaves,English,2020,13+,52,0
Rajkumar,Hindi,None,NR,166,4.5
Mem Saheb,Bengali,2017,13+,122,6.9
Alludugaru,Telugu,1990,All,137,5.8
Mediterranean Sea,English,2020,13+,52,6.5
Easter Island: The Truth Revealed,English,2019,13+,87,0
Men in Black II,Tamil,2002,16+,88,6.2
Chhota Bheem Aur Ganesh,Hindi,2020,All,68,0
Hai Bangalore,Kannada,1997,NR,123,8.3
Aswathy,Malayalam,1991,NR,79,0
Bal Ganesh 2 (Tamil),Tamil,2009,All,73,0
Bonus,Marathi,2020,All,118,7.6
Hit List,Bengali,2009,NR,105,0
I M 24,Hindi,2012,All,119,6.1
Aa Gale Lag Jaa,Hindi,1973,All,147,7.2
Big B,Malayalam,2007,13+,130,7.6
Ayyinda Ledha,Telugu,1997,NR,134,0
Himalay Ki God Mein,Hindi,None,All,138,6.8
Brahmanna,Telugu,1999,NR,120,5.6
Piya Ka Ghar,Hindi,1972,All,134,6.7
Tunir Ma,Bengali,2014,18+,139,0
Penguin (Tamil),Tamil,2020,18+,132,4.6
Sardaar Gabbar Singh,Hindi,2016,NR,164,4.8
The Bastard,English,2020,13+,54,0
The Wolf of Wall Street,English,2013,18+,172,8.2
Stuart Little 3: Call of the Wild,English,2005,13+,75,4.3
Sangharsh,Kannada,1999,NR,140,6.8
Mahal,Hindi,None,All,137,6.7
Mangalya Bhagyam,Telugu,1974,NR,117,0
Professor Shanku O El Dorado,Bengali,2019,13+,91,5.3
Priya - Kannada,Kannada,1979,NR,125,7.3
Patra Chai,Bengali,2019,All,113,0
Don't Be Afraid of the Dark,English,2011,18+,99,5.6
Krithyam,Malayalam,2005,NR,127,3.9
Longest Week,English,2014,18+,86,5.4
Raikamal,Bengali,2017,13+,115,6.9
Mugguru Ammayila Mogudu,Telugu,1983,NR,127,0
Veerey Ki Wedding,Hindi,2018,13+,125,2.8
Night of the Living Dead,English,None,NR,95,7.9
Kitne Door Kitne Paas,Hindi,2002,All,140,4.5
Donald Trump: The Apprentice President?,English,2016,13+,56,4.5
Nasheebachi Aishi Taisi,Marathi,2009,All,142,0
First Daughter,English,2004,All,106,5.1
Zindagi Virat,Marathi,2017,NR,140,8.4
Enemy At the Gates,English,2001,18+,131,7.6
Antarleen,Bengali,2017,13+,90,0
Ardaas,Punjabi,2016,All,134,8.4
Premer Kahini,Bengali,2017,13+,156,6.1
Age Of Dinosaurs,Hindi,2013,NR,84,0
Nanny McPhee,Hindi,2006,13+,98,6.5
Prajapati,Bengali,1993,NR,164,0
Fodi Laishu Yaar,Gujarati,2017,All,137,5.1
Juari,Bengali,2009,NR,119,6.5
City of poets,Bengali,2019,13+,2,0
Urvashi Kalyana,Kannada,1993,NR,133,6.3
PEPPERMINT,English,2018,18+,101,6.5
The Boy,Hindi,2016,16+,93,6
Texas Chainsaw Massacre,Tamil,2013,18+,88,4.8
Konkanastha,Marathi,2013,All,135,6.4
"10,000 B.C.",Telugu,2008,13+,108,5.1
Manini,Marathi,2004,13+,142,6.7
Ek Sangayachay,Marathi,2018,13+,124,7.7
Vangaveeti,Telugu,2016,18+,139,6.1
Guru Aur Bhole & Hawa Hawai,Telugu,2018,7+,60,0
Chitkar,Gujarati,2018,13+,126,0
One Two Three,Hindi,2008,NR,136,5.3
MCA (Hindi),Hindi,2018,13+,112,5.9
Chhota Bheem - Incan Adventure,Hindi,2019,All,64,0
Karma,Tamil,2015,13+,71,6.5
3 A.M.,Hindi,2014,13+,104,5
With Love Tumhara,Hindi,2006,All,108,6.4
Gandhi My Father,Hindi,2007,NR,134,7.3
Sogasu Sundari,Telugu,1995,NR,65,0
Chhota Bheem Ka Roosi Romanch,Hindi,2019,7+,62,0
Tiruttu Rani 420,Tamil,1999,NR,137,0
Awara,Bengali,2017,13+,151,0
Tohfa,Hindi,1984,All,159,5.1
Sonar Harin,Bengali,None,NR,124,6.2
Wazir,Hindi,2016,13+,98,7.1
Kill Dil,Hindi,2014,13+,117,4.3
Vikramarkudu,Telugu,2006,18+,160,7.7
March of the Living,English,2010,NR,76,6.2
Jessie,Telugu,2019,18+,103,6.9
Swayamvaram,Telugu,1982,NR,120,7.8
Abak Prithibi,Bengali,None,NR,98,8
Ranbanka,Hindi,2015,13+,93,3.6
Contract To Kill,Bengali,2016,13+,88,3.4
Balidaan,Marathi,1990,All,154,5.6
Dil,Hindi,1990,All,165,6.7
Hostel,Hindi,2011,13+,112,5.2
Tikka Sankarayya,Telugu,None,NR,157,0
Race,Malayalam,2011,All,121,7.1
Stuart Little,English,1999,All,84,5.9
The Grudge,Telugu,2019,18+,93,4.3
Chhota Bheem Kung Fu Dhamaka,Hindi,2019,All,111,5.3
Air Strike,Telugu,2018,18+,97,3.2
Poker Brain: Inside the Minds of the World's Best Liars,English,2017,13+,51,0
Annabelle: Creation,Telugu,2017,13+,109,6.5
Kindergarten Cop,English,1990,13+,111,6.2
Tracktown,English,2017,13+,88,5.6
Pooja Phalam,Telugu,None,NR,142,0
Sunday in Peking,English,None,NR,19,0
Na Hanaytte,Bengali,2012,All,133,7.2
Pokémon Detective Pikachu,English,2019,13+,104,6.6
Bol,Hindi,2011,NR,151,0
Style,Telugu,2006,All,152,0
Bhootacha Honeymoon,Marathi,2013,All,117,6.2
Rough Book,Hindi,2016,All,102,6.9
Kilukkam Kilukilukkam,Malayalam,2006,NR,156,2.3
Unfinished Business,English,2015,18+,90,5.4
Hemlock Society,Bengali,2012,13+,141,7.4
Allari Raja - 2002,Telugu,2002,NR,77,0
Mamangam,Telugu,2019,13+,156,6.4
Kamagni,Telugu,2001,NR,68,5.8
Neenu Nakkare Haalu Sakkare,Kannada,1991,NR,147,7.4
Katha,Hindi,1982,All,135,7.8
Nater Guru,Bengali,2017,13+,140,6.3
Bazee,Bengali,2017,13+,142,0
I Am Kalam,Malayalam,2011,All,88,8
State Rowdy,Telugu,1989,NR,146,6.5
Aakhri Badla,Hindi,1989,NR,120,5.4
The Warrior's Way,Tamil,2010,18+,96,6.3
Jurassic Park III,Hindi,2001,13+,92,5.9
Swayamvar,Hindi,1990,NR,157,7.4
Rajadhi Raja,Tamil,1989,All,135,6.8
Welcome Home,English,2018,18+,92,5.2
SkyBound,English,2017,16+,81,4.7
Pass Over,English,2018,18+,75,5.7
Conditions Apply,Marathi,2017,NR,112,0
"NILE RODGERS, SECRETS OF A HIT-MAKER",English,2020,13+,52,0
Oddbods - Ultimate Outdoor Adventure,English,2018,All,40,6.4
Mokssh,Hindi,2013,NR,103,4.8
Lagna Patrika,Telugu,2002,NR,132,8.9
Andaz Apna Apna,Hindi,1994,All,153,8.2
"Airships, Back To The Future",English,2019,13+,53,0
Kozhipporu,Malayalam,2020,All,97,5.4
Evaru,Telugu,2019,13+,115,8.2
Sonic The Hedgehog,English,2020,7+,98,6.5
Padosan,Hindi,None,All,149,8.1
Sangram,Hindi,None,NR,139,3.2
Bellflower,English,2011,18+,106,6.4
Love Alive,Hindi,2016,13+,85,7.4
Mantostaan,Hindi,2017,13+,74,6
Masterminds,English,2015,16+,88,5.8
The Substitute (1996),English,1996,18+,112,6
Bhakti Heech Khari Shakti,Marathi,2006,All,169,0
Kung Fu Killer,English,2015,16+,100,6.5
Mr. Bechara,Hindi,1996,All,137,5.4
Maniben Dot Com,Gujarati,2013,All,102,0
Jojo,Bengali,2018,NR,80,0
Andha Prem (2003),Bengali,2018,13+,135,0
Sea of Galilee,English,2019,13+,52,0
Transformers: Revenge of the Fallen,Hindi,2009,13+,149,6
The Witch: Part 1 - The Subversion,Hindi,2018,18+,120,7.1
The Descent Part 2,Tamil,2010,18+,89,5.8
Dante's Inferno,English,2010,18+,88,0
Baabul,Hindi,2006,All,162,5.4
Sargi,Punjabi,2017,All,123,5.8
An American Werewolf in London,English,1981,18+,97,7.5
Oru Sayahnathinte Swapnam,Malayalam,1989,NR,122,6.3
Amityville: A New Generation (4K Restored),English,1993,18+,91,3.8
Padma Nadir Majhi,Bengali,1992,All,131,8.2
Gajamukta,Bengali,1994,NR,127,0
Dangerous Intentions,English,1995,13+,93,6.1
Kaalam Maari Pochu,Tamil,1996,NR,155,0
334 Va Kadha,Telugu,2017,18+,120,0
Ranangan,Marathi,2018,13+,128,5.5
Satbhai,Bengali,2000,NR,150,0
Sanyasi,Hindi,1975,NR,148,6.7
Middle Class Melodies (Kannada),Kannada,2020,16+,135,7.7
50 First Dates,English,2004,13+,99,6.8
Vasantha Geetha,Kannada,1980,NR,161,8.5
Aladin,Hindi,2009,NR,132,4.6
Okkadunnadu,Telugu,2007,18+,130,7.4
Nirdharita Shilpir Anupasthiti,Bengali,2018,13+,132,0
Guns Akimbo,Telugu,2020,18+,93,6.3
Ishq,Malayalam,2019,13+,132,7.5
Roja (Telugu),Telugu,1992,All,138,0
Barsati Gang,Hindi,2017,NR,133,0
Inspector Gadget Saves Christmas,English,1992,All,22,5.8
SkyBound,Marathi,2017,16+,81,4.7
Bonpalashir Padabali,Bengali,2017,13+,139,0
Urge,English,2016,18+,87,4.4
The Wretched,Hindi,2020,18+,95,5.8
Anbu Sagotharan,Tamil,2005,13+,158,8.7
Treasure Island,English,2002,7+,70,7.1
13aam Number Veedu,Tamil,2020,16+,106,2.9
Veedu Theda,Telugu,2011,NR,131,6
Mouna Ragam,Tamil,1986,All,138,8.4
Jis Desh Mein Ganga Rehta Hain,Hindi,2000,All,146,4.9
Small Apartments,English,2013,18+,95,6.1
Egire Paavurama,Telugu,1997,NR,142,0
Njanum Ente Sreeyum,Malayalam,2011,All,124,0
Knowing,English,2009,13+,121,6.2
Gujjubhai Banya Dabang,Gujarati,2018,13+,153,8.2
Snow White & the Huntsman,Hindi,2012,13+,127,6.1
AINA,English,2019,13+,23,0
Little Women,Tamil,2019,All,134,7.8
The Nut Job 2,Hindi,2017,7+,86,5.5
Batman v Superman: Dawn of Justice,Hindi,2016,13+,151,6.4
Kadhalar Dhinam,Tamil,1999,All,151,6.3
Belli Modagalu,Kannada,1992,NR,119,0
Seethakaathi,Tamil,2018,13+,172,7
Ghazi (Telugu),Telugu,2017,All,116,7.6
It's My Life,Telugu,2014,All,118,5.3
Tigerland,English,2000,18+,100,6.9
Ponza and Palmarola,English,2020,13+,22,0
Ekdin Pratidin,Bengali,2017,13+,86,7.2
Kakhono Megh,Bengali,None,NR,117,0
The Carrier,English,2015,18+,90,3.9
Housefull 3,Hindi,2016,NR,134,5
Pratisodh,Bengali,1981,NR,123,0
Westall '66: A Suburban UFO Mystery,English,2010,7+,49,6.5
Dalapathi,Telugu,1991,13+,158,8.5
XXX,English,2002,13+,124,5.9
Aakrosh,Bengali,1989,All,137,7
The Creepy Line,English,2020,13+,56,6.9
Dancer,Hindi,1991,All,149,0
Hrudaya Hadithu,Kannada,1991,NR,144,0
"Anne Morgan, An American On The Front",English,2020,13+,53,0
Ek Ajooba,Hindi,2000,All,71,6
Honey Boy,Hindi,2019,18+,94,7.3
Ittefaq,Hindi,None,All,105,7.4
Lolita,Bengali,1984,13+,122,6.9
Evadi Gola Vaadidi,Telugu,2005,18+,149,6.5
Mounto,Hindi,1975,NR,114,4.8
Blow The Man Down,English,2020,16+,91,6.4
U Turn (Hindi),Hindi,2019,13+,121,7.5
RISING FROM THE RUINS,English,2020,13+,52,0
22 Yards,Hindi,2019,All,126,6.1
Prawn Pepper Fry,Bengali,2020,13+,3,0
Camargue's White Gold,English,2020,13+,26,0
Baranda,Bengali,2017,NR,130,0
Jhinder Bondi,Bengali,None,NR,103,0
We Come as Friends,English,2014,NR,109,7.5
Kinavalli (Hindi),Hindi,2020,All,119,6.6
Chandni Bar,Hindi,2001,13+,144,7.6
Bridget Jones' Diary,Hindi,2001,18+,97,6.7
Stephen King's Doctor Sleep,English,2019,18+,151,7.3
Sindoor,Hindi,1987,All,165,5.2
Pokkiri Simon,Malayalam,2017,All,144,4.8
Final Destination 3,Hindi,2006,18+,92,5.8
Judwaa,Hindi,1997,13+,133,6
Dog Power,English,2020,13+,25,7.3
Chupkotha,Bengali,2018,13+,114,0
Tik Tik Tik,Tamil,1981,NR,134,6
Ventilator,Gujarati,2018,All,140,7.7
KisseBaaz,Hindi,2019,13+,121,4.5
Naga Devathe,Kannada,2000,NR,150,5.8
Zoo Lovers,English,2020,13+,52,0
Letter from Siberia,English,None,NR,58,7.6
Chudail Story,Hindi,2016,18+,99,2.4
Ocean's Thirteen,English,2007,13+,122,6.9
Dongallo Dora,Telugu,None,NR,97,0
Shorgul,Hindi,2013,13+,124,5.7
I Am Kalam,Bengali,2011,All,88,8
Mirrors,English,2008,18+,111,6.2
Greed,Tamil,2020,13+,104,5.7
Ahista Ahista,Hindi,2006,All,117,7
John Wick: Chapter 2,Tamil,2017,18+,122,7.5
SkyBound,Telugu,2017,16+,81,4.7
Kathbirali,Bengali,2020,13+,110,7.5
AK Ayyappanum Koshiyum,Malayalam,2020,All,175,7.9
Double Take,English,2009,NR,79,5.5
Rudra: The Rise Of King Pharaoh,Hindi,2020,7+,90,0
Lady Tiger,Telugu,2019,13+,130,3.4
Mr. Bakra,Kannada,2005,NR,125,7.6
Shortkut - The Con Is On,Hindi,2009,13+,132,3.4
Brains in Danger: What's Behind the Rise of Autism?,English,2017,18+,56,0
Agni Devi,Tamil,2019,NR,101,4.9
Action Jackson,Hindi,2014,NR,143,5.5
Okka Magaadu,Telugu,2008,18+,170,2.1
Bichhoo,Hindi,2000,18+,154,5
Women of Freedom,English,2020,13+,56,6
Chandi Rani,Telugu,1999,NR,130,0
Elizabeth II: A Queen’s Revolution,English,2019,13+,53,0
Sadrishavakyam 24:29,Malayalam,2017,13+,127,4.6
Saving Private Ryan,English,1998,18+,169,8.6
Rahasya The Bhoutik,Bengali,2010,13+,113,3
Sye Raa Narasimha Reddy (Telugu),Telugu,2019,13+,169,7.4
Tashan,Hindi,2008,13+,147,3.8
Bliss,English,2021,16+,103,5.3
Chaukat Raja,Marathi,1991,All,149,7.4
The Wailing,Hindi,2016,18+,149,7.5
Prema Sakshiga,Telugu,2001,NR,121,0
Inspector Gadget's Last Case,English,2002,7+,73,4.9
Godzilla: King of The Monsters,Tamil,2019,16+,131,6
Antaranga,Bengali,1988,NR,129,0
Dragon Blade,Hindi,2015,13+,127,6
Traffic Signal,Hindi,2007,13+,125,6.6
Lage Raho Munna Bhai,Hindi,2006,All,139,8.1
Vampires Suck,English,2010,16+,82,3.4
Yoddha,Telugu,1992,NR,123,8.4
Periya Veetu Pannakkaran,Tamil,1990,NR,122,5.6
Riktha,Kannada,2017,NR,111,0
Drive Angry,Telugu,2011,18+,100,5.4
Mother India,Hindi,None,NR,167,8.1
Geet Sangeet,Bengali,1994,NR,135,7
Death Makes Life Possible,English,2020,13+,65,7.6
Ahare Mon,Bengali,2019,13+,111,7.2
Wedding Cha Shinema,Marathi,2019,All,137,6.9
A Beautiful Day in the Neighborhood,Hindi,2019,All,108,7.3
Love Aaj Kal Porshu,Bengali,2020,13+,102,6.1
Prema Pavuralu,Telugu,1989,All,184,7.3
Quick,Hindi,2011,16+,107,5.8
Geethanjali,Malayalam,2013,13+,150,3.8
Headmaster,Bengali,None,NR,83,7.1
Kaatrin Mozhi,Tamil,2018,7+,147,7.4
Mohacheppu,Malayalam,1989,NR,80,0
Sapoot,Hindi,1996,13+,152,5.2
Dabangg 3 (Kannada),Kannada,2019,16+,148,3.2
Olympus Has Fallen,English,2013,18+,114,6.5
One Child Nation,English,2019,18+,88,7.5
Bhoot Bungla,Hindi,None,18+,136,6.5
The Legend Of Ben Hall,English,2017,16+,139,5.8
Bazaar,Hindi,1982,All,120,0
Chalte Chalte,Telugu,2018,All,134,6.6
Bhai Amar Bhai,Bengali,2017,13+,153,0
Andha Atit,Bengali,1972,NR,105,6.3
Mr. Right,English,2016,18+,95,6.3
Johar In Bombay,Hindi,None,All,98,6.4
Time Machine,Hindi,2016,13+,40,5.6
Edaina Jaragocchu,Telugu,2019,13+,127,3.9
Nishchaiy,Hindi,1992,All,146,3.9
Rajendrudu Gajendrudu,Telugu,1993,All,127,7.2
Srimannarayana,Telugu,2012,18+,138,4.2
Chikati Gadilo Chithakotudu,Telugu,2019,18+,106,4.8
Nishabdham (Telugu),Telugu,2020,16+,125,3.8
Catch Me If You Can,English,2002,16+,140,8.1
Agnishikha,Bengali,1999,NR,85,0
Seal,Hindi,2018,All,12,0
Bheemili Kabaddi Jattu,Telugu,2010,All,143,0
Challenge 2,Bengali,2017,13+,161,0
Soldiers of Fortune,English,2012,18+,93,4.3
Barbie Dreamtopia,English,2016,7+,46,6.4
Rampage,Telugu,2018,13+,107,6.1
Bandish,Hindi,None,NR,107,4.4
Gujjubhai The Great,Gujarati,2015,All,137,8.2
Vinta Mogudu,Telugu,1985,NR,131,8.6
Abhimanyu - Telugu,Telugu,1999,NR,122,0
XXX: State of the Union,Marathi,2005,16+,100,4.5
Happy Birthday to John,English,1995,NR,24,6.4
KAASH,Hindi,1987,All,126,0
Final Destination 5,English,2011,18+,91,5.8
Ganesh Talkies,Bengali,2013,All,130,5.1
Mala Aai Vhhaychy,Marathi,2011,All,128,7.8
Iniyum Oru Janmam,Malayalam,1985,NR,92,0
Mujhse Dosti Karoge,Hindi,2002,All,148,5.1
vazhunnor,Malayalam,1999,All,156,5.9
Gangstar King,Bengali,2018,13+,128,0
Paharganj,Hindi,2019,18+,104,4.6
The Last Color,Hindi,2020,18+,90,7.8
